c1,c2,c3,c4
0.23,0.28,0.2575,0.2325
0.23,0.2825,0.2575,0.23
0.2325,0.2825,0.2575,0.2275
0.235,0.2825,0.255,0.2275
0.235,0.2825,0.255,0.2275
0.235,0.28,0.2575,0.2275
0.235,0.2775,0.2575,0.23
0.2325,0.2775,0.2575,0.2325
0.23,0.28,0.2575,0.2325
0.23,0.28,0.2575,0.2325
0.2275,0.28,0.2575,0.235
0.2275,0.2825,0.2575,0.2325
0.225,0.285,0.2575,0.2325
0.2225,0.2875,0.2575,0.2325
0.2225,0.2875,0.2575,0.2325
0.2225,0.285,0.2575,0.235
0.225,0.285,0.255,0.235
0.225,0.285,0.255,0.235
0.225,0.285,0.255,0.235
0.2225,0.285,0.2575,0.235
0.22,0.285,0.2575,0.2375
0.22,0.285,0.26,0.235
0.2225,0.2825,0.26,0.235
0.2225,0.2825,0.2625,0.2325
0.225,0.2825,0.2625,0.23
0.2225,0.2825,0.265,0.23
0.2225,0.28,0.2675,0.23
0.2225,0.28,0.265,0.2325
0.225,0.2775,0.265,0.2325
0.225,0.275,0.2675,0.2325
0.2275,0.2725,0.2675,0.2325
0.2275,0.27,0.2675,0.235
0.2275,0.2675,0.2675,0.2375
0.2275,0.2675,0.2675,0.2375
0.23,0.265,0.2675,0.2375
0.23,0.265,0.27,0.235
0.23,0.265,0.27,0.235
0.23,0.2625,0.27,0.2375
0.2275,0.2625,0.27,0.24
0.225,0.2625,0.27,0.2425
0.2225,0.2625,0.27,0.245
0.2225,0.26,0.27,0.2475
0.2225,0.26,0.2725,0.245
0.2225,0.2575,0.275,0.245
0.22,0.26,0.275,0.245
0.22,0.2625,0.2725,0.245
0.2175,0.2625,0.275,0.245
0.2175,0.2625,0.2725,0.2475
0.2175,0.265,0.27,0.2475
0.2175,0.2675,0.27,0.245
0.2175,0.2675,0.27,0.245
0.2175,0.2675,0.27,0.245
0.215,0.2675,0.27,0.2475
0.215,0.265,0.27,0.25
0.215,0.2675,0.2675,0.25
0.2125,0.2675,0.2675,0.2525
0.2125,0.265,0.2675,0.255
0.215,0.265,0.265,0.255
0.215,0.2625,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.2125,0.2625,0.2675,0.2575
0.2125,0.265,0.2675,0.255
0.2125,0.265,0.2675,0.255
0.2125,0.265,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.215,0.2625,0.265,0.2575
0.215,0.26,0.2675,0.2575
0.2175,0.26,0.265,0.2575
0.2175,0.2575,0.2675,0.2575
0.215,0.26,0.2675,0.2575
0.2125,0.26,0.2675,0.26
0.2125,0.2625,0.2675,0.2575
0.2125,0.2625,0.27,0.255
0.2125,0.26,0.27,0.2575
0.2125,0.2625,0.27,0.255
0.21,0.265,0.27,0.255
0.21,0.2625,0.27,0.2575
0.21,0.2625,0.2725,0.255
0.2075,0.2625,0.2725,0.2575
0.2075,0.2625,0.27,0.26
0.2075,0.26,0.27,0.2625
0.2075,0.26,0.27,0.2625
0.205,0.26,0.2725,0.2625
0.205,0.2575,0.275,0.2625
0.205,0.2575,0.2725,0.265
0.2025,0.2575,0.275,0.265
0.2025,0.2575,0.2725,0.2675
0.2025,0.2575,0.275,0.265
0.2025,0.2575,0.275,0.265
0.2025,0.2575,0.275,0.265
0.2025,0.2575,0.2775,0.2625
0.205,0.2575,0.2775,0.26
0.205,0.2575,0.28,0.2575
0.205,0.26,0.28,0.255
0.205,0.26,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.255,0.28,0.2575
0.21,0.255,0.28,0.255
0.21,0.2525,0.28,0.2575
0.21,0.2525,0.28,0.2575
0.21,0.2525,0.28,0.2575
0.21,0.2525,0.28,0.2575
0.21,0.2525,0.28,0.2575
0.21,0.255,0.28,0.255
0.21,0.255,0.28,0.255
0.2075,0.2575,0.28,0.255
0.2075,0.2575,0.2825,0.2525
0.205,0.2575,0.285,0.2525
0.205,0.26,0.285,0.25
0.2025,0.26,0.285,0.2525
0.2025,0.26,0.285,0.2525
0.2025,0.26,0.2875,0.25
0.2,0.26,0.2875,0.2525
0.2,0.2575,0.2875,0.255
0.2,0.255,0.29,0.255
0.2,0.2575,0.2875,0.255
0.2,0.255,0.2875,0.2575
0.2,0.255,0.29,0.255
0.1975,0.255,0.29,0.2575
